,country,year,gender,gold,silver,bronze,total
683,Yugoslavia,1984,male,3,3,4,10
684,Australia,1984,male,2,4,4,10
685,Mexico,1984,male,2,3,1,6
686,Brazil,1984,male,1,2,2,5
687,Austria,1984,male,1,1,1,3
688,Kenya,1984,male,1,0,2,3
689,Netherlands,1984,male,1,0,1,2
690,Portugal,1984,male,1,0,1,2
691,Belgium,1984,male,1,0,0,1
692,Morocco,1984,male,1,0,0,1
693,Sweden,1984,male,0,8,4,12
694,Switzerland,1984,male,0,2,3,5
695,Denmark,1984,male,0,2,1,3
696,Greece,1984,male,0,1,1,2
697,Puerto Rico,1984,male,0,1,1,2
698,Colombia,1984,male,0,1,0,1
699,Côte d'Ivoire,1984,male,0,1,0,1
700,Egypt,1984,male,0,1,0,1
701,Ireland,1984,male,0,1,0,1
702,Nigeria,1984,male,0,1,0,1
703,Peru,1984,male,0,1,0,1
704,Syrian Arab Republic,1984,male,0,1,0,1
705,Thailand,1984,male,0,1,0,1
706,Türkiye,1984,male,0,0,3,3
707,Venezuela,1984,male,0,0,3,3
708,Algeria,1984,male,0,0,2,2
709,Cameroon,1984,male,0,0,1,1
710,Chinese Taipei,1984,male,0,0,1,1
711,Dominican Republic,1984,male,0,0,1,1
712,Iceland,1984,male,0,0,1,1
713,Norway,1984,male,0,0,1,1
714,Spain,1984,male,0,0,1,1
715,Zambia,1984,male,0,0,1,1
716,Soviet Union,1988,male,33,17,26,76
717,United States,1988,male,17,18,14,49
718,East Germany,1988,male,13,14,12,39
719,Republic of Korea,1988,male,7,7,9,23
720,Bulgaria,1988,male,7,6,6,19
721,Hungary,1988,male,7,4,3,14
722,Kenya,1988,male,5,2,2,9
723,Japan,1988,male,4,2,4,10
724,Italy,1988,male,4,2,3,9
725,France,1988,male,3,3,2,8
726,Czechoslovakia,1988,male,3,2,1,6
727,West Germany,1988,male,2,8,8,18
728,Great Britain,1988,male,2,6,4,12
729,Poland,1988,male,2,3,7,12
730,Romania,1988,male,2,2,1,5
731,New Zealand,1988,male,2,0,5,7
732,Norway,1988,male,2,0,0,2
733,Australia,1988,male,1,5,1,7
734,People's Republic of China,1988,male,1,4,7,12
735,Canada,1988,male,1,1,2,4
736,Finland,1988,male,1,1,2,4
737,Brazil,1988,male,1,1,1,3
738,Yugoslavia,1988,male,1,1,1,3
739,Denmark,1988,male,1,1,0,2
740,Türkiye,1988,male,1,1,0,2
741,Morocco,1988,male,1,0,2,3
742,Spain,1988,male,1,0,2,3
743,Austria,1988,male,1,0,0,1
744,Suriname,1988,male,1,0,0,1
745,Sweden,1988,male,0,3,5,8
746,Netherlands,1988,male,0,1,2,3
747,Chile,1988,male,0,1,0,1
748,Islamic Republic of Iran,1988,male,0,1,0,1
749,Netherlands Antilles,1988,male,0,1,0,1
750,Senegal,1988,male,0,1,0,1
751,United States Virgin Islands,1988,male,0,1,0,1
752,Belgium,1988,male,0,0,2,2
753,Mexico,1988,male,0,0,2,2
754,Colombia,1988,male,0,0,1,1
755,Djibouti,1988,male,0,0,1,1
756,Greece,1988,male,0,0,1,1
757,Mongolia,1988,male,0,0,1,1
758,Pakistan,1988,male,0,0,1,1
759,Philippines,1988,male,0,0,1,1
760,Switzerland,1988,male,0,0,1,1
761,Thailand,1988,male,0,0,1,1
762,Unified Team,1992,male,28,22,15,65
763,United States,1992,male,16,18,15,49
764,Germany,1992,male,10,7,14,31
765,Cuba,1992,male,10,3,6,19
766,Hungary,1992,male,6,6,6,18
767,Republic of Korea,1992,male,5,3,7,15
768,Spain,1992,male,5,3,1,9
769,France,1992,male,4,4,7,15
770,Czechoslovakia,1992,male,4,1,1,6
771,Democratic People's Republic of Korea,1992,male,4,0,3,7
772,People's Republic of China,1992,male,3,6,7,16
773,Australia,1992,male,3,4,3,10
774,Bulgaria,1992,male,3,4,3,10
775,Italy,1992,male,3,2,5,10
776,Japan,1992,male,2,4,5,11
777,Poland,1992,male,2,4,5,11
778,Kenya,1992,male,2,4,2,8
779,Canada,1992,male,2,3,3,8
780,Great Britain,1992,male,2,2,5,9
781,Türkiye,1992,male,2,2,1,5
782,Sweden,1992,male,1,3,3,7
783,Norway,1992,male,1,2,1,4
784,Finland,1992,male,1,1,2,4
785,Indonesia,1992,male,1,1,1,3
786,Morocco,1992,male,1,1,1,3
787,Brazil,1992,male,1,1,0,2
788,Ireland,1992,male,1,1,0,2
789,Greece,1992,male,1,0,0,1
790,Lithuania,1992,male,1,0,0,1
791,Switzerland,1992,male,1,0,0,1
792,Netherlands,1992,male,0,4,2,6
793,Latvia,1992,male,0,2,1,3
794,Namibia,1992,male,0,2,0,2
795,Nigeria,1992,male,0,2,0,2
796,New Zealand,1992,male,0,1,4,5
797,Islamic Republic of Iran,1992,male,0,1,2,3
798,Jamaica,1992,male,0,1,0,1
799,Mexico,1992,male,0,1,0,1
800,Peru,1992,male,0,1,0,1
801,Romania,1992,male,0,0,4,4
802,Denmark,1992,male,0,0,2,2
803,Ethiopia,1992,male,0,0,2,2
804,Algeria,1992,male,0,0,1,1
805,Belgium,1992,male,0,0,1,1
806,Croatia,1992,male,0,0,1,1
807,Independent Olympic Athletes,1992,male,0,0,1,1
808,Israel,1992,male,0,0,1,1
809,Mongolia,1992,male,0,0,1,1
810,Philippines,1992,male,0,0,1,1
811,Puerto Rico,1992,male,0,0,1,1
812,Qatar,1992,male,0,0,1,1
813,Suriname,1992,male,0,0,1,1
814,Thailand,1992,male,0,0,1,1
815,The Bahamas,1992,male,0,0,1,1
816,United States,1996,male,18,17,11,46
817,Russian Federation,1996,male,17,8,10,35
818,Germany,1996,male,8,6,15,29
819,Italy,1996,male,7,3,4,14
820,People's Republic of China,1996,male,6,7,5,18
821,Cuba,1996,male,6,6,4,16
822,Poland,1996,male,6,3,3,12
823,France,1996,male,5,3,7,15
824,Greece,1996,male,4,3,0,7
825,Hungary,1996,male,4,2,5,11
826,Türkiye,1996,male,4,1,1,6
827,Ukraine,1996,male,4,0,7,11
828,Kazakhstan,1996,male,3,4,4,11
829,Australia,1996,male,3,2,7,12
830,Switzerland,1996,male,3,2,0,5
831,Czechia,1996,male,3,1,2,6
832,New Zealand,1996,male,3,0,0,3
833,Republic of Korea,1996,male,2,8,2,12
834,Bulgaria,1996,male,2,5,3,10
835,Japan,1996,male,2,2,2,6
836,Norway,1996,male,2,1,1,4
837,Algeria,1996,male,2,0,1,3
838,Canada,1996,male,1,4,3,8
839,Spain,1996,male,1,4,2,7
840,Kenya,1996,male,1,3,3,7
841,Brazil,1996,male,1,1,4,6
842,Democratic People's Republic of Korea,1996,male,1,1,2,4
843,Belgium,1996,male,1,1,1,3
844,Islamic Republic of Iran,1996,male,1,1,1,3
845,Slovakia,1996,male,1,1,1,3
846,Armenia,1996,male,1,1,0,2
847,Denmark,1996,male,1,1,0,2
848,South Africa,1996,male,1,1,0,2
849,Netherlands,1996,male,1,0,3,4
850,Thailand,1996,male,1,0,1,2
851,Burundi,1996,male,1,0,0,1
852,Ecuador,1996,male,1,0,0,1
853,Ethiopia,1996,male,1,0,0,1
854,Belarus,1996,male,0,5,6,11
855,Great Britain,1996,male,0,5,4,9
856,Romania,1996,male,0,2,3,5
857,Finland,1996,male,0,2,1,3
858,Namibia,1996,male,0,2,0,2
859,Argentina,1996,male,0,1,1,2
860,Austria,1996,male,0,1,1,2
861,Sweden,1996,male,0,1,1,2
862,Uzbekistan,1996,male,0,1,1,2
863,Azerbaijan,1996,male,0,1,0,1
864,Jamaica,1996,male,0,1,0,1
865,Latvia,1996,male,0,1,0,1
866,Philippines,1996,male,0,1,0,1
867,Slovenia,1996,male,0,1,0,1
868,Tonga,1996,male,0,1,0,1
869,Zambia,1996,male,0,1,0,1
870,Georgia,1996,male,0,0,2,2
871,Morocco,1996,male,0,0,2,2
872,Trinidad and Tobago,1996,male,0,0,2,2
873,India,1996,male,0,0,1,1
874,Israel,1996,male,0,0,1,1
875,Malaysia,1996,male,0,0,1,1
876,Mexico,1996,male,0,0,1,1
877,Mongolia,1996,male,0,0,1,1
878,Nigeria,1996,male,0,0,1,1
879,Puerto Rico,1996,male,0,0,1,1
880,Republic of Moldova,1996,male,0,0,1,1
881,Tunisia,1996,male,0,0,1,1
882,Uganda,1996,male,0,0,1,1
883,Russian Federation,2000,male,17,10,19,46
884,United States,2000,male,15,13,13,41
885,Cuba,2000,male,8,6,4,18
886,People's Republic of China,2000,male,8,4,5,17
887,France,2000,male,6,6,5,17
888,Great Britain,2000,male,6,4,1,11
889,Germany,2000,male,5,10,8,23
890,Australia,2000,male,4,10,6,20
891,Italy,2000,male,4,3,6,13
892,Greece,2000,male,4,3,1,8
893,Netherlands,2000,male,4,1,2,7
894,Republic of Korea,2000,male,3,6,3,12
895,Bulgaria,2000,male,3,5,2,10
896,Japan,2000,male,3,2,0,5
897,Poland,2000,male,3,1,1,5
898,Sweden,2000,male,3,1,1,5
899,Ethiopia,2000,male,3,0,2,5
900,Islamic Republic of Iran,2000,male,3,0,1,4
901,Türkiye,2000,male,3,0,1,4
902,Kazakhstan,2000,male,2,4,0,6
903,Kenya,2000,male,2,3,1,6
904,Hungary,2000,male,2,2,1,5
905,Spain,2000,male,2,2,0,4
906,Canada,2000,male,2,1,3,6
907,Romania,2000,male,2,1,2,5
908,Norway,2000,male,2,0,1,3
909,Ukraine,2000,male,1,5,6,12
910,Czechia,2000,male,1,3,2,6
911,Uzbekistan,2000,male,1,1,2,4
912,Finland,2000,male,1,1,1,3
913,Latvia,2000,male,1,1,1,3
914,Estonia,2000,male,1,0,2,3
915,New Zealand,2000,male,1,0,2,3
916,Azerbaijan,2000,male,1,0,1,2
917,Thailand,2000,male,1,0,1,2
918,Austria,2000,male,1,0,0,1
919,Croatia,2000,male,1,0,0,1
920,Lithuania,2000,male,1,0,0,1
921,Slovenia,2000,male,1,0,0,1
922,Brazil,2000,male,0,3,0,3
923,Mexico,2000,male,0,2,3,5
924,Switzerland,2000,male,0,2,1,3
925,Denmark,2000,male,0,2,0,2
926,Belarus,2000,male,0,1,8,9
927,Algeria,2000,male,0,1,3,4
928,Morocco,2000,male,0,1,3,4
929,South Africa,2000,male,0,1,2,3
930,Kingdom of Saudi Arabia,2000,male,0,1,1,2
931,Republic of Moldova,2000,male,0,1,1,2
932,Slovakia,2000,male,0,1,1,2
933,Trinidad and Tobago,2000,male,0,1,1,2
934,Argentina,2000,male,0,1,0,1
935,Belgium,2000,male,0,1,0,1
936,Indonesia,2000,male,0,1,0,1
937,Uruguay,2000,male,0,1,0,1
938,Georgia,2000,male,0,0,6,6
939,Democratic People's Republic of Korea,2000,male,0,0,2,2
940,Armenia,2000,male,0,0,1,1
941,Barbados,2000,male,0,0,1,1
942,Chinese Taipei,2000,male,0,0,1,1
943,Israel,2000,male,0,0,1,1
944,Jamaica,2000,male,0,0,1,1
945,Kuwait,2000,male,0,0,1,1
946,Kyrgyzstan,2000,male,0,0,1,1
947,North Macedonia,2000,male,0,0,1,1
948,Portugal,2000,male,0,0,1,1
949,Qatar,2000,male,0,0,1,1
950,United States,2004,male,18,20,9,47
951,Russian Federation,2004,male,15,9,19,43
952,People's Republic of China,2004,male,9,5,5,19
953,Italy,2004,male,7,2,4,13
954,Japan,2004,male,6,4,5,15
955,Cuba,2004,male,6,3,5,14
956,Australia,2004,male,5,4,6,15
957,Republic of Korea,2004,male,4,6,5,15
958,France,2004,male,4,2,4,10
959,Great Britain,2004,male,4,2,4,10
960,Germany,2004,male,3,2,9,14
961,Ukraine,2004,male,3,2,2,7
962,Norway,2004,male,3,0,0,3
963,Spain,2004,male,2,6,3,11
964,Türkiye,2004,male,2,3,4,9
965,Greece,2004,male,2,2,2,6
966,Islamic Republic of Iran,2004,male,2,2,2,6
967,Georgia,2004,male,2,2,0,4
968,Uzbekistan,2004,male,2,1,2,5
969,Canada,2004,male,2,1,1,4
970,Sweden,2004,male,2,1,0,3
971,Brazil,2004,male,2,0,3,5
972,Morocco,2004,male,2,0,0,2
973,Kazakhstan,2004,male,1,4,3,8
974,Belarus,2004,male,1,3,2,6
975,Hungary,2004,male,1,3,2,6
976,Netherlands,2004,male,1,2,3,6
977,Kenya,2004,male,1,2,2,5
978,Ethiopia,2004,male,1,2,0,3
979,New Zealand,2004,male,1,2,0,3
980,Bulgaria,2004,male,1,1,6,8
981,Egypt,2004,male,1,1,3,5
982,Thailand,2004,male,1,1,1,3
983,Chinese Taipei,2004,male,1,1,0,2
984,Lithuania,2004,male,1,1,0,2
985,Azerbaijan,2004,male,1,0,2,3
986,Czechia,2004,male,1,0,2,3
987,Chile,2004,male,1,0,1,2
988,Indonesia,2004,male,1,0,1,2
989,Israel,2004,male,1,0,1,2
990,Poland,2004,male,1,0,1,2
991,Switzerland,2004,male,1,0,1,2
992,Dominican Republic,2004,male,1,0,0,1
993,United Arab Emirates,2004,male,1,0,0,1
994,Romania,2004,male,0,3,3,6
995,Austria,2004,male,0,3,1,4
996,Latvia,2004,male,0,3,0,3
997,Portugal,2004,male,0,2,1,3
998,Slovakia,2004,male,0,2,1,3
999,South Africa,2004,male,0,2,1,3
1000,Finland,2004,male,0,2,0,2
1001,Estonia,2004,male,0,1,2,3
1002,Croatia,2004,male,0,1,1,2
1003,Democratic People's Republic of Korea,2004,male,0,1,1,2
1004,Denmark,2004,male,0,1,1,2
1005,India,2004,male,0,1,0,1
1006,Jamaica,2004,male,0,1,0,1
1007,Mexico,2004,male,0,1,0,1
1008,Belgium,2004,male,0,0,1,1
1009,Eritrea,2004,male,0,0,1,1
1010,Mongolia,2004,male,0,0,1,1
1011,Slovenia,2004,male,0,0,1,1
1012,Syrian Arab Republic,2004,male,0,0,1,1
1013,Trinidad and Tobago,2004,male,0,0,1,1
1014,Venezuela,2004,male,0,0,1,1
1015,People's Republic of China,2008,male,19,9,8,36
1016,United States,2008,male,13,12,17,42
1017,Russian Federation,2008,male,13,3,14,30
1018,Great Britain,2008,male,7,6,6,19
1019,Republic of Korea,2008,male,6,6,2,14
1020,Germany,2008,male,6,3,3,12
1021,Italy,2008,male,4,4,3,11
1022,Japan,2008,male,4,4,2,10
1023,Ukraine,2008,male,4,2,6,12
1024,Kenya,2008,male,4,1,4,9
1025,France,2008,male,3,12,12,27
1026,Australia,2008,male,3,4,6,13
1027,Spain,2008,male,3,3,1,7
1028,Georgia,2008,male,3,2,1,6
1029,Poland,2008,male,3,1,1,5
1030,Cuba,2008,male,2,4,13,19
1031,Norway,2008,male,2,3,0,5
1032,Ethiopia,2008,male,2,1,1,4
1033,Mongolia,2008,male,2,1,0,3
1034,Jamaica,2008,male,2,0,0,2
1035,Canada,2008,male,1,4,3,8
1036,Hungary,2008,male,1,4,0,5
1037,Belarus,2008,male,1,3,2,6
1038,Kazakhstan,2008,male,1,2,3,6
1039,New Zealand,2008,male,1,2,2,5
1040,Azerbaijan,2008,male,1,1,3,5
1041,Switzerland,2008,male,1,1,2,4
1042,Czechia,2008,male,1,1,1,3
1043,Latvia,2008,male,1,1,1,3
1044,Slovenia,2008,male,1,1,1,3
1045,Dominican Republic,2008,male,1,1,0,2
1046,Slovakia,2008,male,1,1,0,2
1047,Thailand,2008,male,1,1,0,2
1048,Brazil,2008,male,1,0,3,4
1049,Türkiye,2008,male,1,0,3,4
1050,India,2008,male,1,0,2,3
1051,Netherlands,2008,male,1,0,2,3
1052,Islamic Republic of Iran,2008,male,1,0,1,2
1053,Estonia,2008,male,1,0,0,1
1054,Mexico,2008,male,1,0,0,1
1055,Panama,2008,male,1,0,0,1
1056,Portugal,2008,male,1,0,0,1
1057,Tunisia,2008,male,1,0,0,1
1058,Lithuania,2008,male,0,2,2,4
1059,Sweden,2008,male,0,2,0,2
1060,Armenia,2008,male,0,1,4,5
1061,Ireland,2008,male,0,1,2,3
1062,Kyrgyzstan,2008,male,0,1,2,3
1063,Uzbekistan,2008,male,0,1,2,3
1064,Serbia,2008,male,0,1,1,2
1065,Tajikistan,2008,male,0,1,1,2
1066,Algeria,2008,male,0,1,0,1
1067,Austria,2008,male,0,1,0,1
1068,Chile,2008,male,0,1,0,1
1069,Colombia,2008,male,0,1,0,1
1070,Croatia,2008,male,0,1,0,1
1071,Ecuador,2008,male,0,1,0,1
1072,Greece,2008,male,0,1,0,1
1073,Malaysia,2008,male,0,1,0,1
1074,Morocco,2008,male,0,1,0,1
1075,South Africa,2008,male,0,1,0,1
1076,Sudan,2008,male,0,1,0,1
1077,Trinidad and Tobago,2008,male,0,1,0,1
1078,Vietnam,2008,male,0,1,0,1
1079,Bulgaria,2008,male,0,0,3,3
1080,Chinese Taipei,2008,male,0,0,2,2
1081,Finland,2008,male,0,0,2,2
1082,Indonesia,2008,male,0,0,2,2
1083,Romania,2008,male,0,0,2,2
1084,Afghanistan,2008,male,0,0,1,1
1085,Democratic People's Republic of Korea,2008,male,0,0,1,1
1086,Egypt,2008,male,0,0,1,1
1087,Israel,2008,male,0,0,1,1
1088,Mauritius,2008,male,0,0,1,1
1089,Nigeria,2008,male,0,0,1,1
1090,Republic of Moldova,2008,male,0,0,1,1
1091,The Bahamas,2008,male,0,0,1,1
1092,Togo,2008,male,0,0,1,1
1093,United States,2012,male,14,10,11,35
1094,Great Britain,2012,male,13,5,8,26
1095,People's Republic of China,2012,male,12,9,9,30
1096,Russian Federation,2012,male,9,7,11,27
1097,Republic of Korea,2012,male,7,7,3,17
1098,Islamic Republic of Iran,2012,male,7,5,1,13
1099,France,2012,male,5,3,4,12
1100,Hungary,2012,male,4,2,4,10
1101,Cuba,2012,male,4,1,6,11
1102,Germany,2012,male,3,10,6,19
1103,Italy,2012,male,3,6,5,14
1104,Japan,2012,male,3,5,10,18
1105,Ukraine,2012,male,3,2,3,8
1106,Australia,2012,male,2,4,1,7
1107,Jamaica,2012,male,2,2,2,6
1108,Czechia,2012,male,2,2,1,5
1109,Azerbaijan,2012,male,2,1,4,7
1110,Kazakhstan,2012,male,2,1,4,7
1111,Kenya,2012,male,2,1,4,7
1112,Poland,2012,male,2,1,3,6
1113,Netherlands,2012,male,2,1,2,5
1114,South Africa,2012,male,2,1,0,3
1115,Democratic People's Republic of Korea,2012,male,2,0,2,4
1116,Spain,2012,male,1,4,1,6
1117,Brazil,2012,male,1,2,4,7
1118,Georgia,2012,male,1,2,3,6
1119,Denmark,2012,male,1,2,0,3
1120,Switzerland,2012,male,1,2,0,3
1121,Norway,2012,male,1,1,1,3
1122,Dominican Republic,2012,male,1,1,0,2
1123,Argentina,2012,male,1,0,1,2
1124,New Zealand,2012,male,1,0,1,2
1125,Trinidad and Tobago,2012,male,1,0,1,2
1126,Tunisia,2012,male,1,0,1,2
1127,Türkiye,2012,male,1,0,1,2
1128,Algeria,2012,male,1,0,0,1
1129,Belarus,2012,male,1,0,0,1
1130,Croatia,2012,male,1,0,0,1
1131,Grenada,2012,male,1,0,0,1
1132,Latvia,2012,male,1,0,0,1
1133,Romania,2012,male,1,0,0,1
1134,Uganda,2012,male,1,0,0,1
1135,Venezuela,2012,male,1,0,0,1
1136,Canada,2012,male,0,3,5,8
1137,Colombia,2012,male,0,2,2,4
1138,India,2012,male,0,2,2,4
1139,Mongolia,2012,male,0,2,2,4
1140,Egypt,2012,male,0,2,1,3
1141,Ireland,2012,male,0,1,4,5
1142,Sweden,2012,male,0,1,3,4
1143,Armenia,2012,male,0,1,1,2
1144,Estonia,2012,male,0,1,1,2
1145,Ethiopia,2012,male,0,1,1,2
1146,Indonesia,2012,male,0,1,1,2
1147,Puerto Rico,2012,male,0,1,1,2
1148,Qatar,2012,male,0,1,1,2
1149,Slovenia,2012,male,0,1,1,2
1150,Belgium,2012,male,0,1,0,1
1151,Botswana,2012,male,0,1,0,1
1152,Cyprus,2012,male,0,1,0,1
1153,Finland,2012,male,0,1,0,1
1154,Gabon,2012,male,0,1,0,1
1155,Guatemala,2012,male,0,1,0,1
1156,Malaysia,2012,male,0,1,0,1
1157,Thailand,2012,male,0,1,0,1
1158,Uzbekistan,2012,male,0,0,3,3
1159,Lithuania,2012,male,0,0,2,2
1160,Afghanistan,2012,male,0,0,1,1
1161,Bulgaria,2012,male,0,0,1,1
1162,Greece,2012,male,0,0,1,1
1163,Kuwait,2012,male,0,0,1,1
1164,Morocco,2012,male,0,0,1,1
1165,Serbia,2012,male,0,0,1,1
1166,Slovakia,2012,male,0,0,1,1
1167,Vietnam,2012,male,0,0,1,1
1168,Great Britain,2016,male,14,8,7,29
1169,United States,2016,male,13,15,17,45
1170,People's Republic of China,2016,male,9,7,7,23
1171,Russian Federation,2016,male,8,4,13,25
1172,Italy,2016,male,7,2,3,12
1173,Germany,2016,male,7,0,5,12
1174,Cuba,2016,male,5,1,3,9
1175,Japan,2016,male,4,5,10,19
1176,Uzbekistan,2016,male,4,2,7,13
1177,France,2016,male,3,8,10,21
1178,Kenya,2016,male,3,3,0,6
1179,Republic of Korea,2016,male,3,2,6,11
1180,Australia,2016,male,3,2,1,6
1181,Islamic Republic of Iran,2016,male,3,1,3,7
1182,Jamaica,2016,male,3,0,0,3
1183,Brazil,2016,male,2,4,4,10
1184,Ukraine,2016,male,2,4,1,7
1185,Kazakhstan,2016,male,2,3,4,9
1186,Netherlands,2016,male,2,3,0,5
1187,Georgia,2016,male,2,1,4,7
1188,Switzerland,2016,male,2,0,0,2
1189,Azerbaijan,2016,male,1,6,7,14
1190,South Africa,2016,male,1,4,1,6
1191,Türkiye,2016,male,1,3,3,7
1192,Armenia,2016,male,1,3,0,4
1193,Belarus,2016,male,1,2,2,5
1194,Czechia,2016,male,1,2,2,5
1195,Croatia,2016,male,1,2,1,4
1196,Hungary,2016,male,1,2,1,4
1197,Canada,2016,male,1,1,3,5
1198,Spain,2016,male,1,1,3,5
1199,Colombia,2016,male,1,1,2,4
1200,Belgium,2016,male,1,1,1,3
1201,Democratic People's Republic of Korea,2016,male,1,1,1,3
1202,Greece,2016,male,1,1,0,2
1203,Slovakia,2016,male,1,1,0,2
1204,Vietnam,2016,male,1,1,0,2
1205,New Zealand,2016,male,1,0,3,4
1206,Independent Olympic Athletes,2016,male,1,0,1,2
1207,Côte d'Ivoire,2016,male,1,0,0,1
1208,Jordan,2016,male,1,0,0,1
1209,Serbia,2016,male,1,0,0,1
1210,Singapore,2016,male,1,0,0,1
1211,Tajikistan,2016,male,1,0,0,1
1212,Sweden,2016,male,0,3,0,3
1213,Denmark,2016,male,0,2,2,4
1214,Algeria,2016,male,0,2,0,2
1215,Slovenia,2016,male,0,2,0,2
1216,Ethiopia,2016,male,0,1,2,3
1217,Mexico,2016,male,0,1,2,3
1218,Poland,2016,male,0,1,2,3
1219,Malaysia,2016,male,0,1,1,2
1220,Thailand,2016,male,0,1,1,2
1221,Argentina,2016,male,0,1,0,1
1222,Grenada,2016,male,0,1,0,1
1223,Indonesia,2016,male,0,1,0,1
1224,Niger,2016,male,0,1,0,1
1225,Qatar,2016,male,0,1,0,1
1226,Venezuela,2016,male,0,1,0,1
1227,Dominican Republic,2016,male,0,0,1,1
1228,Egypt,2016,male,0,0,1,1
1229,Israel,2016,male,0,0,1,1
1230,Lithuania,2016,male,0,0,1,1
1231,Mongolia,2016,male,0,0,1,1
1232,Morocco,2016,male,0,0,1,1
1233,Norway,2016,male,0,0,1,1
1234,Romania,2016,male,0,0,1,1
1235,Trinidad and Tobago,2016,male,0,0,1,1
1236,Tunisia,2016,male,0,0,1,1
1237,United Arab Emirates,2016,male,0,0,1,1
1238,United States,2020,male,12,13,9,34
1239,People's Republic of China,2020,male,11,10,7,28
1240,Great Britain,2020,male,10,8,9,27
1241,Japan,2020,male,10,4,6,20
1242,ROC,2020,male,9,5,13,27
1243,Cuba,2020,male,6,2,4,12
1244,Hungary,2020,male,5,6,2,13
1245,Italy,2020,male,5,5,7,17
1246,Australia,2020,male,4,2,6,12
1247,Netherlands,2020,male,3,5,2,10
1248,Czechia,2020,male,3,3,2,8
1249,France,2020,male,3,3,2,8
1250,Brazil,2020,male,3,2,6,11
1251,Islamic Republic of Iran,2020,male,3,2,2,7
1252,Norway,2020,male,3,2,1,6
1253,Uzbekistan,2020,male,3,0,2,5
1254,Georgia,2020,male,2,5,1,8
1255,Germany,2020,male,2,3,6,11
1256,Kenya,2020,male,2,2,1,5
1257,Sweden,2020,male,2,2,0,4
1258,Canada,2020,male,2,1,2,5
1259,Poland,2020,male,2,0,3,5
1260,Greece,2020,male,2,0,1,3
1261,Slovenia,2020,male,2,0,1,3
1262,Qatar,2020,male,2,0,0,2
1263,Ukraine,2020,male,1,3,3,7
1264,Spain,2020,male,1,2,3,6
1265,Republic of Korea,2020,male,1,1,6,8
1266,Türkiye,2020,male,1,1,6,8
1267,Belarus,2020,male,1,1,1,3
1268,India,2020,male,1,1,1,3
1269,Uganda,2020,male,1,1,1,3
1270,Denmark,2020,male,1,1,0,2
1271,Ethiopia,2020,male,1,1,0,2
1272,Tunisia,2020,male,1,1,0,2
1273,Portugal,2020,male,1,0,2,3
1274,Jamaica,2020,male,1,0,1,2
1275,Ecuador,2020,male,1,0,0,1
1276,"Hong Kong, China",2020,male,1,0,0,1
1277,Israel,2020,male,1,0,0,1
1278,Morocco,2020,male,1,0,0,1
1279,The Bahamas,2020,male,1,0,0,1
1280,Venezuela,2020,male,0,3,0,3
1281,Armenia,2020,male,0,2,2,4
1282,Azerbaijan,2020,male,0,2,2,4
1283,Croatia,2020,male,0,2,2,4
1284,Chinese Taipei,2020,male,0,2,1,3
1285,Colombia,2020,male,0,2,1,3
1286,Slovakia,2020,male,0,2,0,2
1287,New Zealand,2020,male,0,1,4,5
1288,Belgium,2020,male,0,1,2,3
1289,Egypt,2020,male,0,1,2,3
1290,Indonesia,2020,male,0,1,2,3
1291,Serbia,2020,male,0,1,2,3
1292,Switzerland,2020,male,0,1,2,3
1293,Jordan,2020,male,0,1,1,2
1294,Mongolia,2020,male,0,1,1,2
1295,Philippines,2020,male,0,1,1,2
1296,Dominican Republic,2020,male,0,1,0,1
1297,Kingdom of Saudi Arabia,2020,male,0,1,0,1
1298,Kyrgyzstan,2020,male,0,1,0,1
1299,Malaysia,2020,male,0,1,0,1
1300,North Macedonia,2020,male,0,1,0,1
1301,Kazakhstan,2020,male,0,0,6,6
1302,Austria,2020,male,0,0,3,3
1303,Burkina Faso,2020,male,0,0,1,1
1304,Finland,2020,male,0,0,1,1
1305,Ghana,2020,male,0,0,1,1
1306,Grenada,2020,male,0,0,1,1
1307,Ireland,2020,male,0,0,1,1
1308,Kuwait,2020,male,0,0,1,1
1309,Latvia,2020,male,0,0,1,1
1310,Republic of Moldova,2020,male,0,0,1,1
1311,San Marino,2020,male,0,0,1,1
1312,Syrian Arab Republic,2020,male,0,0,1,1
1313,United States,1896,female,17,16,18,51
1314,People's Republic of China,1896,female,15,13,7,35
1315,Japan,1896,female,13,6,8,27
1316,Australia,1896,female,7,2,7,16
1317,Germany,1896,female,5,2,3,10
1318,ROC,1896,female,4,10,6,20
1319,Great Britain,1896,female,4,6,8,18
1320,Netherlands,1896,female,4,3,9,16
1321,Canada,1896,female,3,3,4,10
1322,Switzerland,1896,female,3,2,3,8
1323,New Zealand,1896,female,3,1,2,6
1324,Brazil,1896,female,2,3,1,6
1325,Kenya,1896,female,2,2,1,5
1326,Bulgaria,1896,female,2,1,2,5
1327,Jamaica,1896,female,2,1,2,5
1328,Serbia,1896,female,2,0,1,3
1329,Belgium,1896,female,2,0,0,2
1330,Kosovo,1896,female,2,0,0,2
1331,France,1896,female,1,4,3,8
1332,Italy,1896,female,1,3,7,11
1333,Spain,1896,female,1,3,1,5
1334,Republic of Korea,1896,female,1,2,1,4
1335,South Africa,1896,female,1,2,0,3
1336,Chinese Taipei,1896,female,1,1,4,6
1337,Türkiye,1896,female,1,1,3,5
1338,Austria,1896,female,1,1,2,4
1339,Poland,1896,female,1,1,1,3
